Fire Number;Incident Name;Fire Start Date;Initial Report Date;Fire Out Date;Region;Zone;County;Municipality;Cause;NFFL Fuel Model;Complex Type;Acreage;Latitude;Longitude;Ownership;State Land Unit Name;Total;Fatalities;Injuries;Homes Lost;Homes Threatened;Other Structures Lost;Other Structures Threatened;Reporting Ranger;Fire Report Method;Railroad Name;Location 1
NYS-2018-0130;Floodwood Site # 10 Fire;10/26/2018;10/26/2018;10/26/2018;5;5A;FRANKLIN;SANTA CLARA;Campfire; 7 - Brush - Understory;5;0.1;44.20416;-74.22834;Forest Preserve;Saranac Lake Wild Forest;0;0;0;0;0;0;0;Evans,Peter H;DEC Dispatch;;(44.20416, -74.22834)
NYS-2018-0129;Whiskey Field Rx;10/25/2018;10/25/2018;10/25/2018;1;1A;SUFFOLK;BROOKHAVEN;Prescribed Fire; 3 - Grass - Heavy;5;9.5;40.90923;-72.9458;State Forest/RF Area;Rocky Point;0;0;0;0;0;0;0;Carpenter,Timothy J;Ranger Patrol;;(40.90923, -72.9458)
NYS-2018-0128;Iota Rx;10/18/2018;10/18/2018;10/18/2018;4;4A;ALBANY;COLONIE;Prescribed Fire; 2 - Grass - Understory;5;7;42.74409;-73.89731;Other Government;Albany Pine Bush;0;0;0;0;0;0;0;Seeley,Jason J;Ranger Patrol;;(42.74409, -73.89731)
NYS-2018-0127;Stillwater 42 Island;09/18/2018;09/18/2018;10/04/2018;6;6B;HERKIMER;WEBB;Campfire; 7 - Brush - Understory;5;0.1;43.86613;-75.00585;Forest Preserve;Independence river wild forest;0;0;0;0;0;0;0;Savarie,Matthew J;Other;;(43.86613, -75.00585)
NYS-2018-0126;Woodhull Lake fire;09/15/2018;09/15/2018;09/16/2018;6;6C;HERKIMER;WEBB;Campfire; 7 - Brush - Understory;5;0.1;43.59837;-75.00669;Forest Preserve;Black River Wildforest;0;0;0;0;0;0;0;Hoag,Gregory W;911 Dispatch;;(43.59837, -75.00669)
NYS-2018-0125;Legion Fire;09/13/2018;09/13/2018;09/15/2018;5;5B;CLINTON;SARANAC;Debris Burning; 6 - Brush - Mixed/Regeneration;5;2.3;44.61529;-73.77964;Private Property;;0;0;0;0;0;0;0;Booth,Jared T;Ranger Patrol;;(44.61529, -73.77964)
NYS-2018-0124;Polliwog Fire ;09/08/2018;09/08/2018;09/10/2018;5;5A;FRANKLIN;SANTA CLARA;Campfire; 8 - Timber - Light Hardwood Litter;5;0.1;44.33436;-74.35028;Forest Preserve;Saranac Lakes Wild Forest ;0;0;0;0;0;0;0;Evans,Peter H;Other;;(44.33436, -74.35028)
NYS-2018-0123;Tongue Mountain Fire ;09/08/2018;09/08/2018;09/11/2018;5;5F;WARREN;BOLTON;Campfire; 7 - Brush - Understory;5;0.1;43.59848;-73.61794;Forest Preserve;Lake George Wild Forest ;0;0;0;0;0;0;0;Bodnar,Michael J;Other;;(43.59848, -73.61794)
NYS-2018-0122;Bear Cub Fire ;09/07/2018;09/07/2018;09/08/2018;5;5C;ESSEX;NORTH ELBA;Lightning; 8 - Timber - Light Hardwood Litter;5;0.1;44.22822;-73.9985;Private Property;;0;0;0;0;0;0;0;Evans,Peter H;Fire Department;;(44.22822, -73.9985)
NYS-2018-0121;Outlet 2 Fire;09/04/2018;09/04/2018;09/07/2018;5;5A;HAMILTON;LONG LAKE;Campfire; 7 - Brush - Understory;5;0.1;43.87841;-74.60239;Forest Preserve;Sargent Ponds Wild Forest ;0;0;0;0;0;0;0;Waters,James ;DEC Dispatch;;(43.87841, -74.60239)
